Incident Date,Incident Exact Time,Incident Time,Incident Year,Incident Day of Week,Incident Category,nhood,Latitude,Longitude,point,,,incident time number
09/01/2018,11:30:00 AM,12,2018,Tuesday,Assault,Tenderloin,37.7845,-122.41945,"(37.78450084289595, -122.41945454389607)",,,0.48
09/01/2018,12:35:00 PM,13,2018,Tuesday,Assault,Tenderloin,37.783,-122.41241,"(37.783004077643476, -122.4124117474483)",,,0.52
05/01/2018,3:00:00 PM,15,2018,Friday,Burglary,Mission,37.76303,-122.41024,"(37.76302933197032, -122.41024411579505)",,,0.63
09/01/2018,2:14:00 PM,14,2018,Tuesday,Assault,Financial District/South Beach,37.79008,-122.4055,"(37.79008053932494, -122.40549819063149)",,,0.59
09/01/2018,2:10:00 PM,14,2018,Tuesday,Burglary,North Beach,37.80603,-122.41031,"(37.8060277166905, -122.41031084283831)",,,0.59
05/01/2018,3:00:00 PM,15,2018,Friday,Burglary,Mission,37.76303,-122.41024,"(37.76302933197032, -122.41024411579505)",,,0.63
05/01/2018,3:00:00 PM,15,2018,Friday,Burglary,Mission,37.76303,-122.41024,"(37.76302933197032, -122.41024411579505)",,,0.63
09/01/2018,2:49:00 PM,15,2018,Tuesday,Assault,West of Twin Peaks,37.72324,-122.45311,"(37.72324403566466, -122.4531071989789)",,,0.62
08/01/2018,4:35:00 AM,5,2018,Monday,Burglary,Pacific Heights,37.79532,-122.4267,"(37.795316270736635, -122.42669960102346)",,,0.19
06/01/2018,8:14:00 PM,20,2018,Saturday,Assault,Mission,37.76258,-122.42166,"(37.76257883049033, -122.42166247826907)",,,0.84
05/01/2018,4:34:00 AM,5,2018,Friday,Burglary,Noe Valley,37.74688,-122.44224,"(37.746884773941126, -122.44224379569725)",,,0.19
09/01/2018,1:53:00 PM,14,2018,Tuesday,Robbery,Bernal Heights,37.73906,-122.41652,"(37.73906169795557, -122.41651960155151)",,,0.58
09/01/2018,11:30:00 AM,12,2018,Tuesday,Assault,North Beach,37.80376,-122.41322,"(37.803761300729036, -122.41322278716598)",,,0.48
09/01/2018,1:02:00 PM,13,2018,Tuesday,Assault,Mission,37.76258,-122.42166,"(37.76257883049033, -122.42166247826907)",,,0.54
09/01/2018,4:50:00 PM,17,2018,Tuesday,Assault,South of Market,37.77746,-122.41316,"(37.77745741894575, -122.4131576926893)",,,0.70
09/01/2018,3:45:00 PM,16,2018,Tuesday,Burglary,North Beach,37.8049,-122.41177,"(37.80489600962184, -122.4117664820691)",,,0.66
09/01/2018,6:13:00 PM,18,2018,Tuesday,Robbery,Western Addition,37.77707,-122.43651,"(37.77706807960932, -122.43650723358049)",,,0.76
01/01/2018,6:30:00 AM,7,2018,Monday,Burglary,Tenderloin,37.78487,-122.41278,"(37.7848662445387, -122.41278212939851)",,,0.27
09/01/2018,8:30:00 PM,21,2018,Tuesday,Robbery,Castro/Upper Market,37.76773,-122.42897,"(37.76772916992431, -122.42896877346168)",,,0.85
09/01/2018,9:25:00 PM,21,2018,Tuesday,Robbery,Inner Richmond,37.77547,-122.46173,"(37.77546739903482, -122.46173342924563)",,,0.89
09/01/2018,4:00:00 PM,16,2018,Tuesday,Assault,Bayview Hunters Point,37.73643,-122.39856,"(37.73643307564665, -122.39855590292183)",,,0.67
09/01/2018,12:35:00 PM,13,2018,Tuesday,Assault,Tenderloin,37.783,-122.41241,"(37.783004077643476, -122.4124117474483)",,,0.52
07/01/2018,3:00:00 PM,15,2018,Sunday,Burglary,South of Market,37.77579,-122.41107,"(37.77579380320729, -122.41106944380195)",,,0.63
09/01/2018,8:15:00 PM,20,2018,Tuesday,Assault,Excelsior,37.72116,-122.43746,"(37.72116354747668, -122.43746114104351)",,,0.84
09/01/2018,11:55:00 PM,24,2018,Tuesday,Robbery,West of Twin Peaks,37.74089,-122.46583,"(37.740891974182375, -122.46582902531254)",,,1.00
09/01/2018,4:00:00 PM,16,2018,Tuesday,Burglary,Castro/Upper Market,37.76267,-122.43519,"(37.76267070626061, -122.4351879633321)",,,0.67
10/01/2018,4:03:00 AM,4,2018,Wednesday,Burglary,Mission,37.7723,-122.41967,"(37.77230320284353, -122.41967183064224)",,,0.17
